,title,gross_worldwide,movie_id,year
106,Madagascar 3: Europe's Most Wanted,"$746,921,274",1277953,2012
107,Suicide Squad,"$746,846,894",1386697,2016
108,X-Men: Days of Future Past,"$746,045,700",1877832,2014
109,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115",0363771,2005
110,Monsters University,"$743,559,607",1453405,2013
111,The Matrix Reloaded,"$741,847,697",0234215,2003
112,Up,"$735,099,082",1049413,2009
113,Ne Zha,"$726,063,471",10627720,2019
114,The Twilight Saga: New Moon,"$724,256,885",1259571,2009
115,Gravity,"$723,192,705",1454468,2013
116,Captain America: The Winter Soldier,"$714,421,503",1843866,2014
117,The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856",1324999,2011
118,Dawn of the Planet of the Apes,"$710,644,566",2103281,2014
119,Transformers,"$709,709,780",0418279,2007
120,The Amazing Spider-Man 2,"$708,982,323",1872181,2014
121,It,"$701,796,444",1396484,2017
122,The Wandering Earth,"$699,856,699",7605074,2019
123,Interstellar,"$699,618,129",0816692,2014
124,The Twilight Saga: Eclipse,"$698,491,347",1325004,2010
125,Mission: Impossible - Ghost Protocol,"$694,713,380",1229238,2011
126,The Hunger Games,"$694,394,724",1392170,2012
127,Moana,"$690,860,472",3521164,2016
128,Forrest Gump,"$683,095,371",0109830,1994
129,Mission: Impossible - Rogue Nation,"$682,716,636",2381249,2015
130,Doctor Strange,"$677,718,395",1211837,2016
131,The Sixth Sense,"$672,806,292",0167404,1999
132,Man of Steel,"$668,045,518",0770828,2013
133,Ice Age: The Meltdown,"$667,094,506",0438097,2006
134,Kung Fu Panda 2,"$665,692,281",1302011,2011
135,The Hunger Games: Mockingjay - Part 2,"$658,344,137",1951266,2015
136,Justice League,"$657,924,295",0974015,2017
137,Big Hero 6,"$657,857,416",2245084,2014
138,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901",4123430,2018
139,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015",0325980,2003
140,Star Wars: Episode II - Attack of the Clones,"$653,779,970",0121765,2002
141,Thor: The Dark World,"$644,783,140",1981115,2013
142,Sing,"$634,154,734",3470600,2016
143,"Monsters, Inc.","$632,316,649",0198781,2001
144,Kung Fu Panda,"$631,746,197",0441773,2008
145,The Incredibles,"$631,606,713",0317705,2004
146,The Martian,"$630,161,890",3659388,2015
147,Hancock,"$629,443,428",0448157,2008
148,Fast Five,"$626,137,675",1596343,2011
149,Men in Black 3,"$624,026,776",1409024,2012
150,Iron Man 2,"$623,933,331",1228705,2010
151,Ratatouille,"$623,726,085",0382932,2007
152,Ant-Man and the Wasp,"$622,674,139",5095030,2018
153,How to Train Your Dragon 2,"$621,537,519",1646971,2014
154,Logan,"$619,021,436",3315342,2017
155,The Lost World: Jurassic Park,"$618,638,999",0119567,1997
156,Casino Royale,"$616,501,619",0381061,2006
157,The Passion of the Christ,"$612,054,428",0335345,2004
158,Mamma Mia!,"$609,906,965",0795421,2008
159,Life of Pi,"$609,016,565",0454876,2012
160,Transformers: The Last Knight,"$605,425,157",3371366,2017
161,Madagascar: Escape 2 Africa,"$603,900,354",0479952,2008
162,War of the Worlds,"$603,873,119",9686194,2019
163,Tangled,"$592,461,732",0398286,2010
164,Quantum of Solace,"$589,580,482",0830515,2008
165,Men in Black,"$589,390,539",0119654,1997
166,The Croods,"$587,204,668",0481499,2013
167,The Hangover Part II,"$586,764,305",1411697,2011
168,I Am Legend,"$585,410,052",0480249,2007
169,Iron Man,"$585,366,247",0371746,2008
170,Ready Player One,"$582,893,671",1677720,2018
171,How to Train Your Dragon: The Hidden World,"$581,297,197",2386490,2019
172,Operation Red Sea,"$579,330,426",6878882,2018
173,Night at the Museum,"$574,480,841",0477347,2006
174,Fifty Shades of Grey,"$569,651,467",2322441,2015
175,Kong: Skull Island,"$566,652,812",3731562,2017
176,The Smurfs,"$563,749,323",0472181,2011
177,King Kong,"$562,363,449",0360717,2005
178,Cars 2,"$559,852,396",1216475,2011
179,Puss in Boots,"$554,987,477",0448694,2011
180,The Mermaid,"$553,810,228",4701660,2016
181,Armageddon,"$553,709,788",0120591,1998
182,The Day After Tomorrow,"$552,639,571",0319262,2004
183,Ted,"$549,368,315",1637725,2012
184,Star Wars: Episode V - The Empire Strikes Back,"$548,808,732",0080684,1980
185,American Sniper,"$547,426,372",2179136,2014
186,Mission: Impossible II,"$546,388,108",0120755,2000
187,Detective Chinatown 2,"$544,185,156",7752454,2018
188,X-Men: Apocalypse,"$543,934,105",3385516,2016
189,Sherlock Holmes: A Game of Shadows,"$543,848,418",1515091,2011
190,Despicable Me,"$543,113,985",1323594,2010
191,Cinderella,"$542,351,353",1661199,2015
192,Madagascar,"$542,063,846",0351283,2005
193,World War Z,"$540,007,876",0816711,2013
194,Brave,"$538,983,207",1217209,2012
195,The Simpsons Movie,"$536,414,270",0462538,2007
196,The Revenant,"$532,950,503",1663202,2015
197,The Meg,"$530,259,113",4779682,2018
198,Ralph Breaks the Internet,"$529,323,962",5848272,2018
199,Hotel Transylvania 3: Summer Vacation,"$528,583,774",5220122,2018
200,The Boss Baby,"$527,965,936",3874544,2017
201,Dunkirk,"$527,260,271",5013056,2017
202,Godzilla,"$524,976,069",0831387,2014
203,Sherlock Holmes,"$524,028,679",0988045,2009
204,Meet the Fockers,"$522,657,936",0290002,2004
205,WALL·E,"$521,311,860",0910970,2008
206,Kung Fu Panda 3,"$521,170,825",2267968,2016
207,Terminator 2: Judgment Day,"$520,884,847",0103064,1991
208,Ant-Man,"$519,311,965",0478970,2015
209,Dr. Seuss' the Grinch,"$511,595,957",2709692,2018
210,Ghost,"$505,870,681",0099653,1990
211,Aladdin,"$504,050,219",6139732,2019
212,Rio 2,"$498,781,117",2357291,2014
213,Troy,"$497,409,852",0332452,2004
214,Toy Story 2,"$497,374,776",0120363,1999
215,How to Train Your Dragon,"$494,878,759",0892769,2010
216,Twister,"$494,471,524",0117998,1996
217,Oz The Great and Powerful,"$493,311,825",1623205,2013
218,Clash of the Titans,"$493,214,993",0800320,2010
219,Maleficent: Mistress of Evil,"$491,730,089",4777008,2019
220,War for the Planet of the Apes,"$490,719,763",3450958,2017
221,Shrek,"$487,769,799",0126029,2001
222,Mr. & Mrs. Smith,"$487,287,646",0356910,2005
223,Angels & Demons,"$485,930,816",0808151,2009
224,Teenage Mutant Ninja Turtles,"$485,004,754",0100758,1990
225,Bruce Almighty,"$484,592,874",0315327,2003
226,Rio,"$483,866,518",1436562,2011
227,Saving Private Ryan,"$482,349,603",0120815,1998
228,Rise of the Planet of the Apes,"$481,800,873",1318514,2011
229,Home Alone,"$477,063,114",0099785,1990
230,Star Wars: Episode VI - Return of the Jedi,"$475,347,111",0086190,1983
231,Charlie and the Chocolate Factory,"$474,968,763",0367594,2005
232,Hotel Transylvania 2,"$474,800,000",2510894,2015
233,Indiana Jones and the Last Crusade,"$474,310,887",0097576,1989
234,San Andreas,"$473,990,832",2126355,2015
235,It Chapter Two,"$473,093,228",7349950,2019
236,Jaws,"$471,859,371",0073195,1975
237,Wreck-It Ralph,"$471,222,889",1772341,2012
238,The Hangover,"$469,310,836",1119646,2009
239,The Lego Movie,"$468,060,692",1490017,2014
240,Bumblebee,"$467,989,645",4701182,2018
241,Star Trek Into Darkness,"$467,365,246",1408101,2013
242,The Matrix,"$465,712,364",0133093,1999
243,Pretty Woman,"$463,406,927",0100405,1990
244,Cars,"$461,991,867",0317219,2006
245,Gladiator,"$460,583,960",0172495,2000
246,X-Men: The Last Stand,"$460,435,291",0376994,2006
247,National Treasure: Book of Secrets,"$459,242,249",0465234,2007
248,Lucy,"$458,863,600",2872732,2014
249,Mission: Impossible,"$457,731,198",0117060,1996
250,300,"$456,068,181",0416449,2006
251,The Last Samurai,"$454,627,263",0325710,2003
252,Dying to Survive,"$451,183,391",7362036,2018
253,Ocean's Eleven,"$450,717,150",0240772,2001
254,"My People, My Country","$450,064,993",10147382,2019
255,Thor,"$449,326,618",0800369,2011
256,Pearl Harbor,"$449,220,945",0213149,2001
257,Tarzan,"$448,191,819",0918940,2016
258,La La Land,"$446,486,224",3783958,2016
259,The Greatest Showman,"$446,355,750",1485796,2017
260,Men in Black II,"$445,135,288",0120912,2002
261,The Bourne Ultimatum,"$444,100,035",0440963,2007
262,The Mummy Returns,"$443,280,904",0209163,2001
263,Alvin and the Chipmunks: The Squeakquel,"$443,140,005",1231580,2009
264,Les Misérables,"$441,809,770",1707386,2012
265,The Exorcist,"$441,306,145",0070047,1973
266,Mrs. Doubtfire,"$441,286,195",0107614,1993
267,Terminator Genisys,"$440,603,537",1340138,2015
268,Beauty and the Beast,"$440,118,382",2771200,2017
269,Warcraft,"$439,048,914",0803096,2016
270,Mamma Mia! Here We Go Again,"$436,407,847",6911608,2018
271,A Star Is Born,"$436,188,866",1517451,2018
272,Terminator 3: Rise of the Machines,"$433,371,112",0181852,2003
273,Pokémon Detective Pikachu,"$433,005,346",5884052,2019
274,Die Another Day,"$431,971,116",0246460,2002
275,The Secret Life of Pets 2,"$430,051,293",5113040,2019
276,Cast Away,"$429,632,142",0162222,2000
277,Rampage,"$428,028,233",2231461,2018
278,The King's Speech,"$427,374,317",1504320,2010
279,The Matrix Revolutions,"$427,344,064",0242653,2003
280,The Intouchables,"$426,588,510",1675434,2011
281,Django Unchained,"$425,368,238",1853728,2012
