,title,gross_worldwide
135,The Hunger Games: Mockingjay - Part 2,"$658,344,137"
136,Justice League,"$657,924,295"
137,Big Hero 6,"$657,857,416"
138,Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901"
139,Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015"
140,Star Wars: Episode II - Attack of the Clones,"$653,779,970"
141,Thor: The Dark World,"$644,783,140"
142,Sing,"$634,154,734"
143,"Monsters, Inc.","$632,316,649"
144,Kung Fu Panda,"$631,746,197"
145,The Incredibles,"$631,606,713"
146,The Martian,"$630,161,890"
147,Hancock,"$629,443,428"
148,Fast Five,"$626,137,675"
149,Men in Black 3,"$624,026,776"
150,Iron Man 2,"$623,933,331"
151,Ratatouille,"$623,726,085"
152,Ant-Man and the Wasp,"$622,674,139"
153,How to Train Your Dragon 2,"$621,537,519"
154,Logan,"$619,021,436"
155,The Lost World: Jurassic Park,"$618,638,999"
156,Casino Royale,"$616,501,619"
157,The Passion of the Christ,"$612,054,428"
158,Mamma Mia!,"$609,906,965"
159,Life of Pi,"$609,016,565"
160,Transformers: The Last Knight,"$605,425,157"
161,Madagascar: Escape 2 Africa,"$603,900,354"
162,War of the Worlds,"$603,873,119"
163,Tangled,"$592,461,732"
164,Quantum of Solace,"$589,580,482"
165,Men in Black,"$589,390,539"
166,The Croods,"$587,204,668"
167,The Hangover Part II,"$586,764,305"
168,I Am Legend,"$585,410,052"
169,Iron Man,"$585,366,247"
170,Ready Player One,"$582,893,671"
171,How to Train Your Dragon: The Hidden World,"$581,297,197"
172,Operation Red Sea,"$579,330,426"
173,Night at the Museum,"$574,480,841"
174,Fifty Shades of Grey,"$569,651,467"
175,Kong: Skull Island,"$566,652,812"
176,The Smurfs,"$563,749,323"
177,King Kong,"$562,363,449"
178,Cars 2,"$559,852,396"
179,Puss in Boots,"$554,987,477"
180,The Mermaid,"$553,810,228"
181,Armageddon,"$553,709,788"
182,The Day After Tomorrow,"$552,639,571"
183,Ted,"$549,368,315"
184,Star Wars: Episode V - The Empire Strikes Back,"$548,808,732"
185,American Sniper,"$547,426,372"
186,Mission: Impossible II,"$546,388,108"
187,Detective Chinatown 2,"$544,185,156"
188,X-Men: Apocalypse,"$543,934,105"
189,Sherlock Holmes: A Game of Shadows,"$543,848,418"
190,Despicable Me,"$543,113,985"
191,Cinderella,"$542,351,353"
192,Madagascar,"$542,063,846"
193,World War Z,"$540,007,876"
194,Brave,"$538,983,207"
195,The Simpsons Movie,"$536,414,270"
196,The Revenant,"$532,950,503"
197,The Meg,"$530,259,113"
198,Ralph Breaks the Internet,"$529,323,962"
199,Hotel Transylvania 3: Summer Vacation,"$528,583,774"
200,The Boss Baby,"$527,965,936"
201,Dunkirk,"$527,260,271"
202,Godzilla,"$524,976,069"
203,Sherlock Holmes,"$524,028,679"
204,Meet the Fockers,"$522,657,936"
205,WALL·E,"$521,311,860"
206,Kung Fu Panda 3,"$521,170,825"
207,Terminator 2: Judgment Day,"$520,884,847"
208,Ant-Man,"$519,311,965"
209,Dr. Seuss' the Grinch,"$511,595,957"
210,Ghost,"$505,870,681"
211,Aladdin,"$504,050,219"
212,Rio 2,"$498,781,117"
213,Troy,"$497,409,852"
214,Toy Story 2,"$497,374,776"
215,How to Train Your Dragon,"$494,878,759"
216,Twister,"$494,471,524"
217,Oz The Great and Powerful,"$493,311,825"
218,Clash of the Titans,"$493,214,993"
219,Maleficent: Mistress of Evil,"$491,730,089"
220,War for the Planet of the Apes,"$490,719,763"
221,Shrek,"$487,769,799"
222,Mr. & Mrs. Smith,"$487,287,646"
223,Angels & Demons,"$485,930,816"
224,Teenage Mutant Ninja Turtles,"$485,004,754"
225,Bruce Almighty,"$484,592,874"
226,Rio,"$483,866,518"
227,Saving Private Ryan,"$482,349,603"
228,Rise of the Planet of the Apes,"$481,800,873"
229,Home Alone,"$477,063,114"
230,Star Wars: Episode VI - Return of the Jedi,"$475,347,111"
231,Charlie and the Chocolate Factory,"$474,968,763"
232,Hotel Transylvania 2,"$474,800,000"
233,Indiana Jones and the Last Crusade,"$474,310,887"
234,San Andreas,"$473,990,832"
235,It Chapter Two,"$473,093,228"
236,Jaws,"$471,859,371"
237,Wreck-It Ralph,"$471,222,889"
238,The Hangover,"$469,310,836"
239,The Lego Movie,"$468,060,692"
240,Bumblebee,"$467,989,645"
241,Star Trek Into Darkness,"$467,365,246"
242,The Matrix,"$465,712,364"
243,Pretty Woman,"$463,406,927"
244,Cars,"$461,991,867"
245,Gladiator,"$460,583,960"
246,X-Men: The Last Stand,"$460,435,291"
247,National Treasure: Book of Secrets,"$459,242,249"
248,Lucy,"$458,863,600"
249,Mission: Impossible,"$457,731,198"
250,300,"$456,068,181"
251,The Last Samurai,"$454,627,263"
252,Dying to Survive,"$451,183,391"
253,Ocean's Eleven,"$450,717,150"
254,"My People, My Country","$450,064,993"
255,Thor,"$449,326,618"
256,Pearl Harbor,"$449,220,945"
257,Tarzan,"$448,191,819"
258,La La Land,"$446,486,224"
259,The Greatest Showman,"$446,355,750"
260,Men in Black II,"$445,135,288"
261,The Bourne Ultimatum,"$444,100,035"
262,The Mummy Returns,"$443,280,904"
263,Alvin and the Chipmunks: The Squeakquel,"$443,140,005"
264,Les Misérables,"$441,809,770"
265,The Exorcist,"$441,306,145"
266,Mrs. Doubtfire,"$441,286,195"
267,Terminator Genisys,"$440,603,537"
268,Beauty and the Beast,"$440,118,382"
269,Warcraft,"$439,048,914"
270,Mamma Mia! Here We Go Again,"$436,407,847"
271,A Star Is Born,"$436,188,866"
272,Terminator 3: Rise of the Machines,"$433,371,112"
273,Pokémon Detective Pikachu,"$433,005,346"
274,Die Another Day,"$431,971,116"
275,The Secret Life of Pets 2,"$430,051,293"
276,Cast Away,"$429,632,142"
277,Rampage,"$428,028,233"
278,The King's Speech,"$427,374,317"
279,The Matrix Revolutions,"$427,344,064"
280,The Intouchables,"$426,588,510"
281,Django Unchained,"$425,368,238"
282,Dances with Wolves,"$424,208,848"
283,Twilight,"$421,667,219"
284,The Chronicles of Narnia: Prince Caspian,"$419,665,568"
285,Bad Boys for Life,"$419,074,646"
286,Sex and the City,"$418,765,321"
287,The Captain,"$416,953,262"
288,The Mummy,"$415,933,406"
289,The Chronicles of Narnia: The Voyage of the Dawn Treader,"$415,686,217"
290,Jason Bourne,"$415,484,914"
291,The Wolverine,"$414,828,246"
292,Kingsman: The Secret Service,"$414,351,546"
293,Night at the Museum: Battle of the Smithsonian,"$413,106,170"
294,Batman,"$411,556,825"
295,The Bodyguard,"$411,006,740"
296,Pacific Rim,"$411,002,906"
297,Kingsman: The Golden Circle,"$410,902,662"
298,The Mummy,"$409,231,607"
299,Ice Age: Collision Course,"$408,579,038"
300,Signs,"$408,247,917"
301,X2: X-Men United,"$407,711,549"
302,Alita: Battle Angel,"$404,852,543"
303,Toy Story,"$404,265,438"
304,The Mummy: Tomb of the Dragon Emperor,"$403,449,830"
305,Prometheus,"$403,354,469"
306,Gone with the Wind,"$402,352,579"
307,TRON: Legacy,"$400,062,763"
308,Mission: Impossible III,"$398,479,497"
309,Grease,"$397,217,505"
310,Snow White and the Huntsman,"$396,592,829"
311,Solo: A Star Wars Story,"$392,924,807"
312,The Wolf of Wall Street,"$392,000,694"
313,Superman Returns,"$391,081,192"
314,Robin Hood: Prince of Thieves,"$390,493,908"
315,Raiders of the Lost Ark,"$390,133,212"
316,Independence Day: Resurgence,"$389,681,935"
317,Back to the Future,"$388,612,911"
318,Live Free or Die Hard,"$388,156,011"
319,Monster Hunt,"$387,053,506"
320,Godzilla: King of the Monsters,"$386,600,138"
321,Home,"$386,041,607"
322,Star Trek,"$385,680,446"
323,Happy Feet,"$384,335,608"
324,Cars 3,"$383,930,656"
325,Ice Age,"$383,257,136"
326,Fifty Shades Darker,"$381,545,846"
327,Monsters vs. Aliens,"$381,509,870"
328,1917,"$380,867,058"
329,Batman Begins,"$379,714,510"
330,Godzilla,"$379,014,294"
331,True Lies,"$378,882,411"
332,Slumdog Millionaire,"$378,410,113"
333,Taken 2,"$376,141,306"
334,G.I. Joe: Retaliation,"$375,740,705"
335,Spider-Man: Into the Spider-Verse,"$375,540,831"
336,Mad Max: Fury Road,"$375,212,975"
337,Shark Tale,"$374,583,879"
338,Once Upon a Time... In Hollywood,"$374,343,626"
339,What Women Want,"$374,111,707"
340,The Adventures of Tintin,"$373,993,951"
341,Penguins of Madagascar,"$373,515,621"
342,X-Men Origins: Wolverine,"$373,062,864"
343,The Golden Compass,"$372,234,864"
344,Fifty Shades Freed,"$371,985,018"
345,Hitch,"$371,594,210"
346,Terminator Salvation,"$371,353,001"
347,Captain America: The First Avenger,"$370,569,774"
348,Edge of Tomorrow,"$370,541,256"
349,There's Something About Mary,"$369,884,651"
350,Gone Girl,"$369,330,363"
351,The Fugitive,"$368,875,760"
