,title,gross_worldwide
669,American Wedding,"$232,722,935"
670,The Girl with the Dragon Tattoo,"$232,617,430"
671,Juno,"$232,372,681"
672,Argo,"$232,325,503"
673,Mr. Bean's Holiday,"$232,225,908"
674,The English Patient,"$231,976,425"
675,Sister Act,"$231,605,150"
676,Annabelle Comes Home,"$231,252,591"
677,Constantine,"$230,884,728"
678,Get Smart,"$230,685,453"
679,Space Jam,"$230,418,342"
680,Life Is Beautiful,"$230,098,753"
681,The Heat,"$229,930,771"
682,Ghostbusters,"$229,147,509"
683,Ghost Rider,"$228,738,393"
684,Goodbye Mr. Loser,"$228,122,928"
685,Paddington 2,"$227,978,645"
686,Sleepless in Seattle,"$227,927,165"
687,Lethal Weapon 2,"$227,853,986"
688,The Green Hornet,"$227,817,248"
689,Out of Africa,"$227,542,205"
690,Youth,"$227,091,290"
691,Baby Driver,"$226,945,087"
692,Immortals,"$226,904,017"
693,Taken,"$226,837,760"
694,Percy Jackson & the Olympians: The Lightning Thief,"$226,497,209"
695,Hansel & Gretel: Witch Hunters,"$226,349,749"
696,Good Will Hunting,"$225,933,435"
697,Valerian and the City of a Thousand Planets,"$225,874,228"
698,Better Days,"$225,744,502"
699,Ford v Ferrari,"$225,508,210"
700,Jumper,"$225,132,113"
701,The Social Network,"$224,920,315"
702,Chicken Run,"$224,834,564"
703,Con Air,"$224,012,234"
704,Interview with the Vampire: The Vampire Chronicles,"$223,664,608"
705,Flightplan,"$223,387,299"
706,Yes Man,"$223,241,637"
707,Pulp Fiction,"$222,831,817"
708,Non-Stop,"$222,809,600"
709,"Honey, I Shrunk the Kids","$222,724,172"
710,Fahrenheit 9/11,"$222,446,882"
711,Wild Wild West,"$222,104,681"
712,Elf,"$221,671,773"
713,Geostorm,"$221,600,160"
714,Presumed Innocent,"$221,303,188"
715,Collateral,"$220,926,695"
716,Scary Movie 3,"$220,673,217"
717,Inferno,"$220,021,259"
718,Knocked Up,"$219,922,417"
719,Green Lantern,"$219,851,172"
720,What Happens in Vegas,"$219,375,562"
721,It's Complicated,"$219,103,655"
722,The Terminal,"$219,100,084"
723,Captain Phillips,"$218,791,811"
724,The Prince of Egypt,"$218,613,188"
725,Jack Reacher,"$218,340,595"
726,Kingdom of Heaven,"$218,122,627"
727,Dirty Dancing,"$217,808,118"
728,The Emoji Movie,"$217,776,646"
729,Dracula Untold,"$217,124,280"
730,Central Intelligence,"$216,972,543"
731,Million Dollar Baby,"$216,763,646"
732,The Help,"$216,639,112"
733,Twins,"$216,614,388"
734,Valentine's Day,"$216,485,654"
735,Bad Teacher,"$216,197,492"
736,One Hundred and One Dalmatians,"$216,026,182"
737,Clear and Present Danger,"$215,887,717"
738,Ted 2,"$215,863,606"
739,Bram Stoker's Dracula,"$215,862,692"
740,Vertical Limit,"$215,663,859"
741,Ghostbusters II,"$215,394,738"
742,The Patriot,"$215,294,342"
743,The Sorcerer's Apprentice,"$215,283,742"
744,Just Go with It,"$214,945,591"
745,The Expendables 3,"$214,657,577"
746,The Fast and the Furious,"$214,463,726"
747,Creed II,"$214,215,889"
748,Public Enemies,"$214,104,620"
749,Smallfoot,"$214,040,103"
750,The Bourne Identity,"$214,034,224"
751,Disclosure,"$214,015,089"
752,The Aviator,"$213,719,942"
753,"Crouching Tiger, Hidden Dragon","$213,525,736"
754,Braveheart,"$213,216,216"
755,Into the Woods,"$212,902,372"
756,Bedtime Stories,"$212,874,864"
757,Miss Congeniality,"$212,742,720"
758,Entrapment,"$212,404,396"
759,Ace Ventura: When Nature Calls,"$212,385,533"
760,End of Days,"$211,989,043"
761,Bridget Jones's Baby,"$211,952,420"
762,Battle Los Angeles,"$211,819,354"
763,Fury,"$211,817,906"
764,Australia,"$211,787,511"
765,Due Date,"$211,780,824"
766,Master and Commander: The Far Side of the World,"$211,622,535"
767,Lemony Snicket's A Series of Unfortunate Events,"$211,468,235"
768,District 9,"$210,888,950"
769,The Jungle Book,"$210,310,084"
770,Moonraker,"$210,308,099"
771,The Others,"$209,947,037"
772,Horrible Bosses,"$209,838,559"
773,Red Dragon,"$209,196,298"
774,Little Women,"$209,101,214"
775,Tomorrowland,"$209,035,668"
776,Me Before You,"$208,314,186"
777,Safe House,"$208,076,205"
778,S.W.A.T.,"$207,725,639"
779,Traffic,"$207,515,725"
780,Paranormal Activity 3,"$207,039,844"
781,Philadelphia,"$206,678,440"
782,Sleepy Hollow,"$206,071,502"
783,The Holiday,"$205,841,885"
784,London Has Fallen,"$205,754,447"
785,A Dog's Purpose,"$205,736,628"
786,The Break-Up,"$205,668,210"
787,Journey to the West,"$205,637,183"
788,JFK,"$205,405,498"
789,White House Down,"$205,366,737"
790,Fun with Dick and Jane,"$204,681,899"
791,Eat Pray Love,"$204,594,016"
792,You Don't Mess with the Zohan,"$204,313,400"
793,King Arthur,"$203,567,857"
794,Hairspray,"$203,552,922"
795,Yogi Bear,"$203,509,374"
796,Everest,"$203,427,584"
797,Vanilla Sky,"$203,388,341"
798,Arrival,"$203,388,186"
799,Need for Speed,"$203,277,636"
800,Ponyo,"$203,204,882"
801,Garfield,"$203,172,417"
802,The Addams Family,"$203,044,905"
803,Patch Adams,"$202,292,902"
804,Teenage Mutant Ninja Turtles,"$201,965,915"
805,Kindergarten Cop,"$201,957,688"
806,Harley Quinn: Birds of Prey,"$201,858,461"
807,Straight Outta Compton,"$201,634,991"
808,21 Jump Street,"$201,585,328"
809,Valkyrie,"$201,545,517"
810,Open Season,"$200,811,689"
811,Cats & Dogs,"$200,687,492"
812,The Hunt for Red October,"$200,512,643"
813,Percy Jackson: Sea of Monsters,"$199,850,315"
814,Two Weeks Notice,"$199,043,242"
815,RED,"$199,006,387"
816,City of Angels,"$198,685,114"
817,The Pacifier,"$198,636,868"
818,50 First Dates,"$198,520,934"
819,Total Recall,"$198,467,168"
820,The Island,"$198,326,350"
821,The Impossible,"$198,087,212"
822,Lost in Thailand,"$197,757,387"
823,Christopher Robin,"$197,744,377"
824,Jack the Giant Slayer,"$197,687,603"
825,Smurfs: The Lost Village,"$197,183,546"
826,Spy Kids 3-D: Game Over,"$197,101,678"
827,Panic Room,"$197,079,546"
828,The Other Woman,"$196,710,396"
829,Stargate,"$196,567,262"
830,Beowulf,"$196,393,745"
831,The Vow,"$196,114,570"
832,Anger Management,"$195,745,823"
833,Tropic Thunder,"$195,702,811"
834,The Shape of Water,"$195,333,312"
835,The Pelican Brief,"$195,268,056"
836,The BFG,"$195,243,411"
837,Rocketman,"$195,179,299"
838,The Intern,"$194,564,672"
839,Downton Abbey,"$194,273,763"
840,Wallace & Gromit: The Curse of the Were-Rabbit,"$194,111,171"
841,Gnomeo & Juliet,"$193,967,670"
842,The Sum of All Fears,"$193,921,372"
843,Gangs of New York,"$193,772,504"
844,The Monkey King 2,"$193,678,298"
845,Paranormal Activity,"$193,355,800"
846,Weathering with You,"$193,176,979"
847,The Post,"$192,938,646"
848,The Equalizer,"$192,330,738"
849,The LEGO Movie 2: The Second Part,"$192,306,508"
850,The Addams Family,"$191,502,426"
851,The Longest Yard,"$191,466,556"
852,Cheaper by the Dozen,"$190,538,630"
853,The Equalizer 2,"$190,400,157"
854,Hollow Man,"$190,213,455"
855,Outbreak,"$189,859,560"
856,The Santa Clause,"$189,833,357"
857,The White Storm 2: Drug Lords,"$189,396,380"
858,The X Files,"$189,176,423"
859,Breakup Buddies,"$189,017,596"
860,Rambo III,"$189,015,611"
861,The Secret Life of Walter Mitty,"$188,133,322"
862,Jaws 2,"$187,884,007"
863,12 Years a Slave,"$187,733,202"
864,Heat,"$187,436,818"
865,Mr. Popper's Penguins,"$187,361,754"
866,The Grudge,"$187,281,115"
867,I Now Pronounce You Chuck & Larry,"$187,134,117"
868,The Horse Whisperer,"$186,883,563"
869,Walk the Line,"$186,797,986"
870,The Jungle Book 2,"$186,303,759"
871,The Final Destination,"$186,167,139"
872,Atlantis: The Lost Empire,"$186,053,725"
873,Inside Man,"$186,003,591"
874,The Waterboy,"$185,991,646"
875,Hugo,"$185,770,160"
876,Pitch Perfect 3,"$185,400,345"
877,Watchmen,"$185,382,813"
878,The Birdcage,"$185,260,553"
879,Moulin Rouge!,"$184,935,030"
880,Snow White and the Seven Dwarfs,"$184,925,486"
881,Hop,"$183,953,723"
882,Bad Moms,"$183,936,074"
883,Jupiter Ascending,"$183,887,723"
884,Knowing,"$183,658,498"
885,102 Dalmatians,"$183,611,771"
886,Storks,"$183,388,953"
887,Paul Blart: Mall Cop,"$183,348,429"
888,Wayne's World,"$183,097,323"
889,Maverick,"$183,031,272"
890,Mirror Mirror,"$183,018,522"
891,The Man in the Iron Mask,"$182,968,902"
892,Cape Fear,"$182,291,969"
893,The Haunted Mansion,"$182,290,266"
894,While You Were Sleeping,"$182,057,016"
895,The Bridges of Madison County,"$182,016,617"
896,Abominable,"$181,705,838"
897,Poseidon,"$181,674,817"
898,The First Wives Club,"$181,489,203"
899,Scooby-Doo 2: Monsters Unleashed,"$181,216,833"
900,Hot Shots!,"$181,096,164"
901,Road to Perdition,"$181,001,478"
902,Kill Bill: Vol. 1,"$180,899,045"
903,The Scorpion King,"$180,630,907"
904,Sweet Home Alabama,"$180,622,424"
905,Daddy's Home 2,"$180,613,180"
906,Deja Vu,"$180,557,550"
907,Hacksaw Ridge,"$180,450,918"
908,Dangerous Minds,"$179,519,401"
909,The Dictator,"$179,379,533"
910,The League of Extraordinary Gentlemen,"$179,265,204"
911,Allegiant,"$179,246,868"
912,Daredevil,"$179,179,718"
913,City Slickers,"$179,033,791"
914,He's Just Not That Into You,"$178,866,158"
915,Eagle Eye,"$178,767,383"
916,Along Came Polly,"$178,311,729"
917,Flushed Away,"$178,281,554"
918,Scary Movie 4,"$178,262,620"
919,Dante's Peak,"$178,127,760"
920,Brokeback Mountain,"$178,062,759"
921,Patriot Games,"$178,051,587"
922,Flubber,"$177,977,226"
923,Baywatch,"$177,856,751"
924,Double Jeopardy,"$177,841,558"
925,War Horse,"$177,584,879"
926,Paranormal Activity 2,"$177,512,032"
927,How to Lose a Guy in 10 Days,"$177,502,387"
928,Alien vs. Predator,"$177,427,090"
929,Hero,"$177,395,557"
930,The 40-Year-Old Virgin,"$177,378,645"
931,Lee Daniels' The Butler,"$177,313,795"
932,The Haunting,"$177,311,151"
933,The Descendants,"$177,243,185"
934,The A-Team,"$177,238,796"
935,Tootsie,"$177,200,000"
936,In the Line of Fire,"$176,997,168"
937,Analyze This,"$176,885,658"
938,The Hitman's Bodyguard,"$176,596,851"
939,Looper,"$176,506,819"
940,Ip Man 4: The Finale,"$176,405,343"
941,Dr. Dolittle 2,"$176,104,344"
942,The Italian Job,"$176,070,171"
943,The Bucket List,"$175,372,502"
944,Sleeping with the Enemy,"$174,999,005"
945,Cowboys & Aliens,"$174,822,325"
946,The Mule,"$174,804,407"
947,George of the Jungle,"$174,463,257"
948,Evan Almighty,"$174,440,724"
949,Identity Thief,"$173,965,010"
950,The Nutcracker and the Four Realms,"$173,961,069"
951,Big Momma's House,"$173,959,438"
952,In Time,"$173,930,596"
953,Amélie,"$173,924,742"
954,Operation Mekong,"$173,839,072"
955,Anchorman 2: The Legend Continues,"$173,649,931"
956,Creed,"$173,567,581"
957,Gemini Man,"$173,469,516"
958,The Girl on the Train,"$173,185,859"
959,Scream,"$173,046,663"
960,Cold Mountain,"$173,013,509"
961,Black Hawk Down,"$172,989,651"
962,The Grand Budapest Hotel,"$172,940,046"
963,The Santa Clause 2,"$172,855,065"
964,Cloverfield,"$172,394,180"
965,Scream 2,"$172,363,301"
966,Couples Retreat,"$171,844,840"
967,Antz,"$171,757,863"
968,Blood Diamond,"$171,720,398"
969,Jackass 3D,"$171,685,792"
970,No Country for Old Men,"$171,627,166"
971,Spies in Disguise,"$171,616,764"
972,John Wick: Chapter 2,"$171,539,887"
973,Cocktail,"$171,504,781"
974,Mr. Deeds,"$171,269,535"
975,Contact,"$171,120,329"
976,Superbad,"$170,812,526"
977,The Other Guys,"$170,458,922"
978,The Specialist,"$170,362,582"
979,Olympus Has Fallen,"$170,270,201"
980,Starsky & Hutch,"$170,268,750"
981,Shall We Dance,"$170,128,460"
982,Stuart Little 2,"$169,956,806"
983,Zookeeper,"$169,852,759"
984,Dumb and Dumber To,"$169,837,010"
985,Ghost in the Shell,"$169,801,921"
986,Princess Mononoke,"$169,785,629"
987,Seven Pounds,"$169,748,929"
988,Meet the Robinsons,"$169,333,034"
989,The Emperor's New Groove,"$169,327,687"
990,12 Monkeys,"$168,839,459"
991,Dodgeball,"$168,423,227"
992,Hellboy II: The Golden Army,"$168,319,243"
993,Insidious: The Last Key,"$167,885,588"
994,Fantastic Four,"$167,882,881"
995,Unstoppable,"$167,805,466"
996,Three Men and a Baby,"$167,780,960"
997,Magic Mike,"$167,739,368"
998,Alexander,"$167,298,192"
999,Up in the Air,"$166,842,739"
