,Topic_0,Topic_1,Topic_2,title,Order,genres,rating
37,0.2865639925003052,0.42137137055397034,0.2920646369457245,Jurassic Park,"1,2,0","['Thriller', 'Sci', 'Adventure', 'Action']",8.1
38,0.5456867814064026,0.15908394753932953,0.2952291965484619,Finding Dory,"0,2,1","['Family', 'Adventure', 'Comedy', 'Animation']",7.3
39,0.2722730040550232,0.2742156684398651,0.4535112977027893,Star Wars: Episode I - The Phantom Menace,"2,1,0","['Fantasy', 'Sci', 'Adventure', 'Action']",6.5
40,0.5723952054977417,0.3598536252975464,0.06775113195180893,Alice in Wonderland,"0,1,2","['Family', 'Adventure', 'Fantasy']",6.4
41,0.024395780637860298,0.11809292435646057,0.8575112819671631,Zootopia,"2,1,0","['Mystery', 'Adventure', 'Comedy', 'Family', 'Animation', 'Crime']",8.0
42,0.2679852843284607,0.23053637146949768,0.5014783143997192,The Hobbit: An Unexpected Journey,"2,0,1","['Family', 'Adventure', 'Fantasy']",7.8
43,0.9506350159645081,0.024248970672488213,0.025116033852100372,Harry Potter and the Sorcerer's Stone,"0,2,1","['Family', 'Adventure', 'Fantasy']",7.6
44,0.33108991384506226,0.14511823654174805,0.5237918496131897,Harry Potter and the Deathly Hallows: Part 1,"2,0,1","['Mystery', 'Family', 'Adventure', 'Fantasy']",7.7
45,0.3171996772289276,0.49241143465042114,0.19038890302181244,Despicable Me 2,"1,0,2","['Adventure', 'Comedy', 'Family', 'Sci', 'Fantasy', 'Animation']",7.3
46,0.5832261443138123,0.18812087178230286,0.22865299880504608,Finding Nemo,"0,2,1","['Family', 'Adventure', 'Comedy', 'Animation']",8.1
47,0.24081529676914215,0.5627346038818359,0.1964501142501831,Jumanji: Welcome to the Jungle,"1,0,2","['Fantasy', 'Comedy', 'Adventure', 'Action']",6.9
48,0.24081510305404663,0.562734067440033,0.1964508295059204,Jumanji,"1,0,2","['Fantasy', 'Comedy', 'Adventure', 'Action']",6.9
49,0.3542429208755493,0.44797995686531067,0.19777707755565643,Pirates of the Caribbean: At World's End,"1,0,2","['Fantasy', 'Adventure', 'Action']",7.1
50,0.49926233291625977,0.1340555101633072,0.36668217182159424,The Hobbit: The Desolation of Smaug,"0,2,1","['Adventure', 'Fantasy']",7.8
51,0.41962337493896484,0.26977473497390747,0.3106019198894501,The Hobbit: The Battle of the Five Armies,"0,2,1","['Adventure', 'Fantasy']",7.4
52,0.0959562435746193,0.47999700903892517,0.42404675483703613,The Lord of the Rings: The Two Towers,"1,2,0","['Fantasy', 'Adventure', 'Action', 'Drama']",8.7
53,0.020152684301137924,0.6168581247329712,0.362989217042923,Harry Potter and the Order of the Phoenix,"1,2,0","['Mystery', 'Adventure', 'Family', 'Fantasy', 'Action']",7.5
54,0.21232210099697113,0.24488426744937897,0.5427936911582947,Harry Potter and the Half-Blood Prince,"2,1,0","['Mystery', 'Adventure', 'Family', 'Fantasy', 'Action']",7.6
55,0.22907087206840515,0.6007869243621826,0.17014218866825104,Shrek 2,"1,0,2","['Adventure', 'Comedy', 'Family', 'Romance', 'Fantasy', 'Animation']",7.2
56,0.3074950575828552,0.14870983362197876,0.5437951683998108,Bohemian Rhapsody,"2,0,1","['Biography', 'Music', 'Drama']",8.0
57,0.41369181871414185,0.11394209414720535,0.4723661243915558,Harry Potter and the Goblet of Fire,"2,0,1","['Mystery', 'Family', 'Adventure', 'Fantasy']",7.7
58,0.5545908808708191,0.14971432089805603,0.2956947982311249,Spider-Man 3,"0,2,1","['Sci', 'Adventure', 'Action']",6.2
59,0.5085793137550354,0.018366409465670586,0.47305426001548767,The Lord of the Rings: The Fellowship of the Ring,"0,2,1","['Fantasy', 'Adventure', 'Action', 'Drama']",8.8
60,0.4536133110523224,0.28358662128448486,0.26280009746551514,Ice Age: Dawn of the Dinosaurs,"0,1,2","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Animation']",6.9
61,0.17820526659488678,0.39159125089645386,0.43020349740982056,Spectre,"2,1,0","['Thriller', 'Adventure', 'Action']",6.8
62,0.40238553285598755,0.3815183937549591,0.21609611809253693,Harry Potter and the Chamber of Secrets,"0,1,2","['Mystery', 'Family', 'Adventure', 'Fantasy']",7.4
63,0.7022445201873779,0.13943935930728912,0.15831613540649414,Spider-Man: Homecoming,"0,2,1","['Sci', 'Adventure', 'Action']",7.4
64,0.5235243439674377,0.24756938219070435,0.2289063185453415,Ice Age: Continental Drift,"0,1,2","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Animation']",6.6
65,0.6338046789169312,0.03512146323919296,0.3310738801956177,The Secret Life of Pets,"0,2,1","['Family', 'Adventure', 'Comedy', 'Animation']",6.5
66,0.3745698630809784,0.3265576958656311,0.2988724708557129,Batman v Superman: Dawn of Justice,"0,1,2","['Sci', 'Adventure', 'Action']",6.4
67,0.41204819083213806,0.3772033751010895,0.21074840426445007,Wolf Warrior 2,"0,1,2","['Thriller', 'War', 'Action', 'Drama']",6.0
68,0.4442894160747528,0.3409077823162079,0.21480275690555573,Star Wars: Episode III - Revenge of the Sith,"0,1,2","['Fantasy', 'Sci', 'Adventure', 'Action']",7.5
69,0.49946391582489014,0.39604344964027405,0.10449263453483582,The Hunger Games: Catching Fire,"0,1,2","['Mystery', 'Adventure', 'Thriller', 'Sci', 'Action']",7.5
70,0.12426716089248657,0.5253675580024719,0.3503653109073639,Guardians of the Galaxy Vol. 2,"1,2,0","['Comedy', 'Sci', 'Adventure', 'Action']",7.6
71,0.2637438178062439,0.35401275753974915,0.38224345445632935,Inside Out,"2,1,0","['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Animation']",8.1
72,0.16242636740207672,0.5019939541816711,0.3355797231197357,Venom,"1,2,0","['Thriller', 'Sci', 'Adventure', 'Action']",6.7
73,0.27649495005607605,0.3685297966003418,0.35497528314590454,Thor: Ragnarok,"1,2,0","['Adventure', 'Comedy', 'Sci', 'Fantasy', 'Action']",7.9
74,0.32164889574050903,0.2783823013305664,0.39996880292892456,Transformers: Revenge of the Fallen,"2,0,1","['Sci', 'Adventure', 'Action']",6.0
75,0.8857951760292053,0.031221820041537285,0.08298303186893463,Inception,"0,2,1","['Thriller', 'Sci', 'Adventure', 'Action']",8.8
76,0.3919246196746826,0.28367123007774353,0.32440415024757385,The Twilight Saga: Breaking Dawn - Part 2,"0,2,1","['Romance', 'Adventure', 'Fantasy', 'Drama']",5.5
77,0.43228399753570557,0.14315472543239594,0.4245613217353821,Spider-Man,"0,2,1","['Sci', 'Adventure', 'Action']",7.3
78,0.5507303476333618,0.43037959933280945,0.01889008842408657,Wonder Woman,"0,1,2","['Adventure', 'Sci', 'War', 'Fantasy', 'Action']",7.4
79,0.5168035626411438,0.02595360018312931,0.45724284648895264,Independence Day,"0,2,1","['Sci', 'Adventure', 'Action']",7.0
80,0.3484348654747009,0.20884746313095093,0.44271764159202576,Fantastic Beasts and Where to Find Them,"2,0,1","['Family', 'Adventure', 'Fantasy']",7.3
81,0.28992852568626404,0.44818657636642456,0.261884868144989,Shrek the Third,"1,0,2","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Animation']",6.1
82,0.3480761647224426,0.3438207805156708,0.3081030547618866,Coco,"0,1,2","['Mystery', 'Adventure', 'Music', 'Family', 'Fantasy', 'Animation']",8.4
83,0.6455737948417664,0.3188380300998688,0.03558813035488129,Mission: Impossible - Fallout,"0,1,2","['Thriller', 'Adventure', 'Action']",7.7
84,0.4689352512359619,0.2651563584804535,0.2659083902835846,Harry Potter and the Prisoner of Azkaban,"0,2,1","['Mystery', 'Family', 'Adventure', 'Fantasy']",7.9
85,0.21805134415626526,0.3453870117664337,0.436561644077301,Jumanji: The Next Level,"2,1,0","['Fantasy', 'Comedy', 'Adventure', 'Action']",6.7
86,0.36825069785118103,0.23195970058441162,0.3997896611690521,Pirates of the Caribbean: Dead Men Tell No Tales,"2,0,1","['Fantasy', 'Adventure', 'Action']",6.6
87,0.0300054419785738,0.5983190536499023,0.3716754913330078,E.T. the Extra-Terrestrial,"1,2,0","['Sci', 'Family']",7.8
88,0.34611955285072327,0.626727819442749,0.02715263143181801,2012,"1,0,2","['Sci', 'Adventure', 'Action']",5.8
89,0.36757105588912964,0.31823673844337463,0.31419217586517334,Indiana Jones and the Kingdom of the Crystal Skull,"0,1,2","['Adventure', 'Action']",6.1
90,0.36606600880622864,0.17915387451648712,0.45478010177612305,Spider-Man 2,"2,0,1","['Sci', 'Adventure', 'Action']",7.3
91,0.3660379648208618,0.17918755114078522,0.45477449893951416,The Amazing Spider-Man,"2,0,1","['Sci', 'Adventure', 'Action']",7.3
92,0.027382250875234604,0.5136712193489075,0.45894655585289,Fast & Furious 6,"1,2,0","['Thriller', 'Adventure', 'Action']",7.1
93,0.02448011375963688,0.464190810918808,0.5113290548324585,Deadpool 2,"2,1,0","['Comedy', 'Sci', 'Adventure', 'Action']",7.7
94,0.6566044688224792,0.31200918555259705,0.03138634189963341,Deadpool,"0,1,2","['Comedy', 'Sci', 'Adventure', 'Action']",8.0
95,0.25297820568084717,0.13418403267860413,0.6128377914428711,Star Wars: Episode IV - A New Hope,"2,0,1","['Fantasy', 'Sci', 'Adventure', 'Action']",8.6
96,0.4535398483276367,0.03545375540852547,0.5110064148902893,Guardians of the Galaxy,"2,0,1","['Comedy', 'Sci', 'Adventure', 'Action']",8.0
97,0.37433433532714844,0.3228212893009186,0.30284440517425537,The Da Vinci Code,"0,1,2","['Mystery', 'Thriller']",6.6
98,0.5508493781089783,0.24661342799663544,0.20253720879554749,Fast & Furious Presents: Hobbs & Shaw,"0,1,2","['Thriller', 'Adventure', 'Action']",6.4
99,0.022877756506204605,0.30197691917419434,0.6751453280448914,Maleficent,"2,1,0","['Adventure', 'Family', 'Romance', 'Fantasy', 'Action']",7.0
